# The groups of orthologs are given as matrix with group per row
# and one genome per tab-separated column. Numbers refer to
# entry number as listed in the file "Map-SeqNum-id.map.
# Alternatively, use the OrthologousGroup.txt representation.
Aphidoletes_aphidimyza_AA	Bibio_marci_AA	Bradysia_corophila_AA	Contarinia_nasturtii_AA	Dilophus_febrilis_AA	Drosophila_melanogaster_AA	Plecia_longiforceps_AA	Pseudolycoriella_hygida_AA	Resseliella_maxima_AA	Sitodiplosis_mosellana_AA
2405	0	0	22598	0	0	0	0	10638	0
10662	0	0	0	0	0	0	0	4918	29043
13535	1171	27038	8621	771	10214	5888	0	14076	5689
0	7837	13656	15180	0	8874	0	0	0	29020
11871	15348	14856	3053	12913	9036	2274	1199	10210	375
10147	5222	11180	0	5422	1159	9830	8637	7009	0
0	0	13602	15179	0	5766	0	0	0	29019
13770	4489	6094	13234	2347	26746	0	6609	12579	7531
12445	0	0	0	0	0	0	0	0	5710
0	17024	7338	0	15839	446	0	0	0	15341
13769	4525	6093	13232	2337	10521	0	0	0	7532
13773	4501	6087	13233	0	2758	0	0	0	7535
13771	0	6091	13243	0	2756	0	0	0	7539
13774	0	6085	13236	0	2757	0	0	0	7543
13772	0	6088	13244	0	925	0	0	0	7544
0	10121	0	0	11921	30333	0	0	0	14403
0	0	6080	13235	0	10522	0	0	0	7540
0	2986	4118	0	170	14971	0	6369	0	0
15298	3285	3307	12619	1074	4840	0	4909	0	3426
0	0	6084	13245	0	0	0	0	0	7545
15299	3294	3305	12620	1084	2917	0	0	0	3427
0	0	6081	13239	0	0	0	0	0	7541
0	0	6078	13231	0	0	0	0	0	7534
0	0	6079	13229	0	0	0	0	0	7533
670	0	27056	296	0	0	0	0	5997	18788
0	0	6083	13238	0	0	0	0	0	7550
0	0	6082	13240	0	0	0	0	0	7542
0	0	6089	13242	0	0	0	0	0	7546
9629	0	1592	16875	4360	24198	0	8103	14119	27968
0	4112	0	0	3618	348	7850	0	0	0
0	0	6090	13237	0	0	0	0	0	7549
0	0	0	8161	0	0	0	0	3811	10316
9579	7431	22640	3941	0	8384	0	0	0	27235
2909	9013	19029	13645	8299	8047	0	8965	5726	13559
4548	12015	14054	10007	11862	29250	4494	11650	9046	26850
2911	9021	19030	0	8307	19409	0	0	0	13561
2910	8991	19031	0	8282	0	0	0	0	13560
13662	14973	23025	10700	12838	4156	1779	0	8224	9131
0	19675	26999	13468	17916	16090	0	0	10655	17073
3052	0	26994	13467	0	0	0	0	0	17072
3051	0	26996	13466	0	0	0	0	0	17071
8939	902	2186	3993	2889	10096	6468	0	1347	28181
8936	0	2185	4020	0	13112	0	0	0	28180
12989	13989	7112	8213	14255	5047	1354	1494	10045	8217
8937	0	2184	4004	2879	0	0	0	0	28183
8938	0	0	4012	0	0	0	0	0	28182
9580	7437	22641	0	0	26372	0	0	0	27234
9583	7456	22642	0	0	0	0	0	0	27233
0	13976	7113	8214	14264	5048	0	0	0	8216
16040	444	22458	12674	0	10610	0	6133	5577	2207
7315	0	13104	18745	11984	356	8921	0	6434	10193
9582	0	22643	0	0	0	0	0	0	27232
0	0	26997	13471	0	4646	0	0	0	17076
7313	0	13090	18746	11999	360	0	0	0	10194
0	0	26991	13474	0	6417	0	0	0	17077
0	0	13095	18743	11990	2840	0	0	0	10192
5711	12730	14132	21762	0	933	0	1647	6644	30923
4373	9764	15356	10511	11855	15800	0	2869	13240	32317
0	3267	3311	12622	0	4841	0	0	0	3428
4374	0	0	10510	11869	12877	4075	0	0	32318
0	0	13099	18752	0	4704	0	0	0	10195
671	0	27058	297	0	0	0	0	0	18790
0	3275	3309	12623	0	2784	0	0	0	3430
13780	145	5998	9125	1491	0	0	6651	4218	9787
0	0	13096	18742	0	14007	0	0	0	10196
0	0	443	15956	13350	5096	0	0	0	0
1906	7267	10392	6077	7186	24361	0	0	10888	25123
1905	7278	10391	6076	7174	27351	0	0	0	25122
0	7255	10395	6075	7182	0	0	0	0	25121
10294	9436	10694	2602	5600	5743	12124	8434	7078	30044
0	0	445	0	13355	18428	0	0	0	0
5712	12738	14133	21760	0	10744	0	0	0	30925
0	0	27059	298	0	0	0	0	0	18789
2362	0	20496	13906	0	28166	0	10399	5596	22905
0	0	3306	12621	0	2783	0	0	0	3429
0	7259	10393	6078	0	0	0	0	0	25124
3804	12405	13191	19965	8973	16229	0	0	10545	20362
0	0	16204	0	0	4392	0	4805	0	0
0	0	27063	302	0	0	0	0	0	18791
4549	11986	14053	10008	11880	10172	0	0	0	26859
0	7246	10394	6079	0	0	0	0	0	25128
3803	0	13192	19960	0	0	0	0	0	20405
0	0	27057	300	0	0	0	0	0	18787
0	7232	10397	6081	0	0	0	0	0	25130
0	0	27061	301	0	0	0	0	0	18786
7270	19656	10361	19952	18180	12798	8510	0	10434	14376
7268	19660	0	19953	18184	28332	0	0	0	14371
0	0	0	19964	0	0	0	0	0	20398
0	0	0	19963	0	0	0	0	0	20333
7269	19658	0	19954	0	28331	0	0	0	14363
0	0	0	19962	0	0	0	0	0	20324
0	0	0	19961	0	0	0	0	0	20273
0	0	0	19966	0	0	0	0	0	20262
0	0	0	19967	0	0	0	0	0	20243
11733	15235	13916	6746	13819	18502	346	17396	12684	212
11732	15230	0	6747	13826	11373	0	0	0	211
7267	0	0	19955	0	0	0	0	0	14497
0	0	7033	0	0	0	0	17752	0	0
0	0	14209	0	13856	25352	1328	16374	0	0
11236	0	26729	3887	5576	16268	10013	11822	10290	21629
11235	0	26727	3871	5572	26302	0	0	0	21630
11237	0	26728	3879	0	12301	0	0	0	21628
2361	0	20497	13880	0	0	0	0	0	0
11234	0	0	3895	0	0	0	0	0	21625
0	0	14208	0	0	25356	0	0	0	1549
3871	10236	16689	21113	11189	153	3346	3799	1535	29100
10856	8509	13085	2322	6690	4334	11257	3606	1115	20709
10295	9447	10687	2643	5596	8824	0	0	0	30052
0	9450	10688	2634	0	21444	0	0	0	30050
0	9456	10690	2626	0	8826	0	0	0	30049
0	9431	10691	2618	0	8825	0	0	0	30048
0	9422	10692	2609	0	5744	0	0	0	30047
37	17643	24122	20186	17483	15724	0	1477	12499	22291
6073	10449	14675	5484	8962	13018	0	4023	4050	27189
16591	13483	28326	18599	12955	18660	1386	17448	14066	14804
0	160	0	9126	0	6134	0	0	0	9789
8761	9275	20897	14675	7872	8530	419	10289	8812	17597
0	0	14210	0	0	25355	0	0	0	1550
8240	8066	20507	24908	7529	19776	10172	10397	3917	12384
8762	0	20898	14674	7876	14186	0	0	8813	17600
8255	11410	13944	15368	11555	0	0	16615	13011	16119
0	0	28325	18600	12960	0	0	0	0	14809
0	8519	13083	2319	6699	8414	0	0	0	20710
0	2191	5530	0	0	14924	0	0	0	0
8764	0	20899	14676	0	8529	0	0	0	17601
0	0	14211	0	0	25354	0	0	0	1551
0	0	6468	0	0	0	5758	1398	0	0
8763	0	20900	14677	0	8528	0	0	0	17603
2883	18081	0	0	16479	13291	0	0	0	0
0	0	20901	14679	0	0	0	0	0	17607
0	0	14212	0	0	25353	0	0	0	1552
5451	11217	791	9814	9564	21159	0	1471	2041	22773
0	0	13103	18761	0	4706	0	0	0	10197
8844	17709	863	2125	0	0	0	0	9617	21689
7493	0	17279	16418	9386	6387	2938	2032	8392	7037
13381	5306	0	8242	4797	26860	0	2069	10361	11748
0	0	19383	0	6833	12431	0	9085	0	15426
5452	11207	784	9815	9553	4373	0	0	0	22778
5426	11429	4385	5222	9878	14966	4140	5444	8619	12505
0	0	24251	0	0	5432	0	0	0	0
14794	1488	6473	12477	3522	0	8477	0	7894	9426
14796	0	0	12478	3512	3941	0	0	0	9434
14795	0	0	12479	0	16106	0	0	0	9425
9160	2103	3465	15301	290	326	0	1597	9307	30377
8845	17712	865	2115	0	0	0	0	0	21691
0	17704	864	2098	0	0	0	0	0	21690
0	17702	866	2088	0	0	0	0	0	21687
0	0	0	2078	0	4800	0	0	0	21686
0	0	0	2107	0	0	0	0	0	21692
0	0	0	2069	0	0	0	0	0	21688
0	0	20508	0	0	0	0	0	0	12385
0	17642	24123	20172	17487	1961	0	0	0	22289
13517	16009	24140	2968	12937	7714	463	15843	2461	7968
0	0	24124	20193	0	9425	0	0	0	22288
0	0	24125	20178	0	0	0	0	0	22287
6075	10440	0	5485	0	3729	0	0	0	27211
2402	0	0	0	0	0	0	0	0	16851
0	0	24126	20164	0	0	0	0	0	22290
15097	1164	4267	12668	2986	4723	7664	5407	14483	6287
0	0	14395	0	0	0	3043	0	0	28631
0	0	0	2135	9696	0	0	0	0	21695
0	11418	4386	5223	9885	6978	0	0	0	12513
0	10303	12846	0	0	0	0	0	0	1782
0	0	0	2059	0	0	0	0	0	21694
0	16007	0	2967	0	16318	0	0	0	7966
0	0	0	2050	0	0	0	0	0	21696
6074	10429	0	0	0	13017	0	0	0	27239
268	0	7593	534	0	0	0	0	12454	15285
0	0	0	12475	0	3940	0	0	0	9424
0	0	0	12480	0	6718	0	0	0	9432
270	0	7594	535	0	0	0	0	0	15284
269	0	7595	536	0	0	0	0	0	15283
9499	1606	10666	0	2674	9861	0	12016	0	20310
271	0	7596	538	0	0	0	0	0	15289
0	15361	7029	0	14776	15013	0	0	0	656
0	0	0	0	0	25350	0	0	0	1548
264	19489	18056	533	17712	6443	5620	12229	12449	15241
0	11422	4389	5224	0	6979	0	0	0	12526
0	8365	13674	0	6382	8332	0	11588	0	0
0	14307	0	1082	0	7890	0	0	0	4974
9274	7238	11423	14795	4985	11865	0	10057	9557	30642
9273	7253	11425	14794	0	19558	0	0	0	30641
0	11431	4379	5226	0	0	0	0	0	12538
0	11434	4390	5225	0	0	0	0	0	12532
0	14318	0	1083	0	30127	0	0	0	4975
9652	304	3722	16531	0	0	0	6299	3266	28677
15759	0	21613	10629	188	29834	0	6539	2251	2915
0	0	26992	13475	0	0	0	0	0	17078
0	0	21624	10631	205	29835	0	0	0	2916
0	0	19382	0	6849	1784	0	0	0	15424
0	15381	7030	0	14780	5009	0	0	0	660
4149	10314	12534	20992	10269	5742	35	0	1549	29155
5505	0	15289	21953	0	0	3834	0	762	7207
0	0	21634	10632	217	13454	0	0	0	2917
0	0	0	10630	0	0	0	0	0	2914
0	16325	0	0	12595	0	0	0	0	0
10305	9403	21942	3131	8627	3418	11222	11037	13175	12972
0	0	13590	17587	0	0	0	11491	0	6770
0	16326	0	0	12610	0	0	0	0	0
0	16323	0	0	12606	0	0	0	0	0
0	0	0	10633	0	0	0	0	0	2913
0	7222	10396	6083	0	0	0	11457	0	25134
2373	6519	22515	119	8764	15247	10008	0	13205	24848
2374	6533	22512	118	8767	1644	0	0	0	24847
2375	6512	22513	117	8771	8161	0	0	0	24845
0	0	22521	116	8760	8162	0	0	0	24844
0	0	22510	115	0	0	0	0	0	24843
4963	13019	26043	10306	10669	1311	3254	0	787	0
12800	15853	7239	6884	13237	11582	2635	889	12769	5844
0	0	22514	120	0	0	0	0	0	24853
0	0	22511	122	0	0	0	0	0	24855
2948	8376	10613	22678	7583	1604	10968	0	1706	24035
0	0	22518	121	0	0	0	0	0	24854
2949	8381	0	22670	7598	11806	0	0	0	24034
0	0	22520	124	0	0	0	0	0	24858
0	0	22526	125	0	0	0	0	0	24896
0	1149	27030	0	0	10212	0	0	0	5688
0	0	0	10635	0	0	0	0	0	2921
0	0	0	6082	0	0	0	0	0	25127
12461	3161	14124	8605	3223	10493	8466	1219	9388	5559
12462	0	14122	8604	0	16443	0	0	0	5558
0	0	0	8603	0	0	0	0	0	5557
0	0	0	8602	0	0	0	0	0	5556
5102	11937	13188	21920	9231	4487	3772	3964	2974	13745
11416	9281	22099	17116	6070	1619	11364	11162	2473	21470
9690	305	4897	1384	2811	13443	0	6731	9862	20257
0	13970	7114	0	14258	18188	0	0	0	0
0	0	13620	0	0	5768	0	0	0	29006
0	333	3721	16530	0	0	0	0	0	28676
0	0	13650	0	0	27768	0	0	0	29004
0	0	13613	0	0	8876	0	0	0	29003
0	0	13610	0	0	5767	0	0	0	29001
0	0	0	0	0	30332	0	0	0	14401
0	8354	0	22686	7575	11807	0	0	0	24049
12384	14345	18009	7161	13862	2430	0	16382	1479	5785
12430	15257	24723	703	14877	7821	0	15525	0	1279
0	15264	24724	702	0	7822	0	0	0	1278
0	0	24725	701	0	19078	0	0	0	1277
0	0	0	0	0	8607	0	0	0	14405
0	0	0	0	0	554	0	0	0	1553
0	15376	7034	0	14765	2416	0	0	0	657
0	293	4898	1383	0	0	0	0	0	20258
16970	14322	18105	7946	13840	5206	859	0	4318	749
0	10284	0	0	0	0	0	0	0	2127
0	15857	0	0	13229	11583	0	0	0	5839
0	0	0	0	0	25351	0	0	0	1555
15043	0	4085	12483	0	0	0	6391	0	3421
0	0	0	17434	0	10365	0	0	0	15240
5103	11952	13189	21928	9237	4488	0	0	0	13818
9753	0	20506	2310	0	0	0	0	14263	30514
0	0	13644	0	0	0	0	0	0	29015
8676	2629	3484	1500	2820	29939	7853	6437	1091	20456
0	8369	0	0	7603	19445	0	0	0	24028
0	0	0	0	0	557	0	0	0	1554
0	0	0	2144	0	0	0	0	0	21708
15934	3089	4775	9228	3394	10400	8146	0	0	3532
0	3080	4777	9229	0	2823	0	0	0	3533
15717	0	8170	11024	0	0	0	13764	12075	2006
0	0	4776	9230	0	10401	0	0	0	3534
0	0	4779	9231	0	2824	0	0	0	3535
10667	8121	20495	16587	5518	13355	12160	1032	4902	29045
0	0	0	0	0	25349	0	0	0	1556
0	3887	27873	8565	0	0	0	0	9364	5243
0	0	27869	8564	0	0	0	0	0	5242
0	0	27868	8563	0	0	0	0	0	5241
0	0	4782	9232	0	14630	0	0	0	3537
13883	0	4635	8693	0	0	0	0	12421	9574
0	0	0	18274	8857	3253	0	0	0	0
0	8346	0	0	7593	25651	0	0	0	24036
15157	3593	1873	11516	4604	10982	0	6806	454	3293
0	11962	13190	21925	9244	0	0	0	0	13717
0	0	0	21924	0	4489	0	0	0	13711
0	0	0	21923	0	4491	0	0	0	13704
0	0	0	21922	0	4492	0	0	0	13696
0	0	27872	8566	0	0	0	0	0	5244
10215	2014	3191	16547	1944	6202	6855	7011	9184	27864
6096	11336	14403	0	10055	21896	4745	3005	14619	11569
0	19634	0	6094	0	0	0	12201	753	0
0	0	4780	9233	0	14631	0	0	0	3538
0	6074	0	0	0	0	0	0	10362	11747
841	18384	18529	23774	17455	8166	9014	0	4665	18895
842	18380	0	23775	17457	14454	0	13536	0	18896
0	0	27866	8568	0	0	0	0	0	5246
0	0	4781	9234	0	17790	0	0	0	3542
0	0	27867	8567	0	0	0	0	0	5245
7040	12032	15192	20437	12075	3999	0	4307	11523	7750
11763	15275	23623	7741	15023	15161	1897	17238	222	1231
0	0	0	9236	0	17791	0	0	0	3544
0	0	0	21921	0	12780	0	0	0	13739
843	12586	0	23776	17452	0	0	0	0	18894
0	15282	23620	7738	15019	25423	0	0	0	1230
7018	11425	16800	18770	10095	343	234	1312	6469	13485
0	16322	0	0	0	4053	2035	8636	0	0
0	15288	23619	7737	0	7875	0	0	0	1229
0	15269	23621	7736	0	7878	0	0	0	1228
0	0	0	21929	0	0	0	0	0	13779
11944	15397	0	2508	12811	964	0	16910	4013	0
0	12019	15195	20447	12081	3995	0	0	0	7752
0	13713	0	0	14445	0	4905	0	0	0
0	0	23622	7739	0	5238	0	0	0	1227
0	11342	0	0	10050	0	0	0	0	0
0	0	3312	0	0	2915	0	0	0	3431
0	0	23624	7742	0	7876	0	0	0	1234
0	0	27874	8569	0	0	0	0	0	5247
0	0	8172	11025	0	0	0	0	0	2007
8358	3164	4192	4637	713	15956	8203	383	9926	29314
0	0	23627	7740	0	7877	0	0	0	1235
0	16741	136	23791	0	5309	9011	0	10745	23621
9043	7857	10401	3701	7196	5357	0	12141	7068	21324
0	0	0	0	8858	25809	0	0	0	0
0	7384	0	14742	6919	8687	0	0	14239	30378
4242	12471	26951	10391	10803	16706	4147	904	1816	7170
0	0	10682	0	0	2273	2241	0	0	0
4032	13270	17230	10504	11487	0	0	0	4960	21493
0	12045	15197	20443	12086	4012	0	0	0	7751
0	12056	15212	20460	0	3975	0	0	0	7754
0	0	27020	0	0	10213	0	0	0	5687
0	0	128	23810	0	5294	0	0	0	23653
0	0	15193	20464	0	941	0	0	0	7755
0	0	15190	20467	0	6937	0	0	0	7756
0	0	15194	20461	0	10972	0	0	0	7749
0	0	27013	0	0	24062	0	0	0	5686
9501	1612	10665	0	2684	9862	0	0	0	0
10564	6978	18902	15300	7866	89	11224	8885	9498	29705
12298	14614	14872	6534	13945	7498	616	17625	14433	7953
0	0	15201	20469	0	3980	0	0	0	7757
10631	3100	27860	1792	17292	14949	0	5093	9847	29072
0	0	15200	20470	0	14951	0	0	0	7758
12299	0	14873	6536	13939	18457	0	0	0	7956
0	0	3313	0	0	2916	0	0	0	3432
0	0	27871	8562	0	0	0	0	0	5252
0	5221	11181	3228	5426	8558	0	0	0	20227
0	0	15202	20472	0	3965	0	0	0	7760
0	0	27875	8561	0	0	0	0	0	5251
0	0	0	8560	0	6327	0	0	0	5250
0	3924	0	8558	0	0	0	0	0	5249
0	0	15206	20466	0	3997	0	0	0	7761
0	9427	10693	2651	0	5745	0	0	0	30057
4031	13266	0	10505	11497	6032	0	0	0	21504
0	0	3310	0	0	4839	0	0	0	3433
12300	0	14874	6537	0	7500	0	0	0	7954
0	0	15213	20438	0	3984	0	0	0	7759
16954	0	18122	7966	0	25317	0	0	0	754
0	0	15203	20468	0	3993	0	0	0	7762
16939	0	18117	7967	0	25318	0	0	0	770
5814	13194	12861	22304	9639	4835	0	4162	13329	32230
858	17880	8492	330	9760	14891	918	563	13388	18269
8790	186	4802	16603	3137	10229	0	5662	3124	30058
0	0	129	23798	0	5296	0	0	0	23625
5166	13092	24698	9495	10010	28590	3189	5552	10296	28
0	0	132	23800	0	5291	0	0	0	23624
16934	0	18116	7975	0	3149	0	0	0	771
16940	0	18106	7960	0	25313	0	0	0	761
0	0	15198	20442	0	3983	0	0	0	7765
0	0	15224	20473	0	3964	0	0	0	7769
0	0	127	23815	0	1107	0	0	0	23655
16955	0	18119	7976	0	25320	0	0	0	760
0	0	154	23807	0	5295	0	0	0	23632
16943	0	18107	7964	0	25319	0	0	0	776
16941	0	18077	7962	0	25315	0	14630	0	755
16942	0	18096	7968	0	5205	0	0	0	759
12332	14412	13889	6490	14509	17926	485	16845	13590	4692
16944	0	18109	7948	0	25316	0	0	0	765
16957	0	18115	7953	0	5204	0	0	0	736
10527	7560	10683	0	7943	0	0	0	0	21294
16945	0	18121	7971	0	25314	0	0	0	0
0	0	23625	7743	0	0	0	0	0	1236
16946	0	18101	7947	0	15144	0	0	0	751
16935	0	18104	7956	0	5207	0	0	0	767
0	0	15215	20452	0	3979	0	0	0	7766
16949	0	18099	7959	0	3147	0	0	0	763
10598	0	2958	15449	0	10239	7634	0	9468	27301
0	0	15214	20478	0	3981	0	0	0	7768
0	0	140	23816	0	5292	0	0	0	23661
16958	0	18120	7969	0	13283	0	0	0	752
16961	0	18112	7943	0	25309	0	0	0	774
16947	0	18095	7970	0	3148	0	0	0	764
16937	0	18081	7949	0	25311	0	0	0	756
0	0	0	7744	0	0	0	0	0	1237
16936	0	18091	7954	0	25310	0	0	0	745
16959	0	18111	7957	0	25312	0	0	0	757
0	3905	0	8557	0	0	0	0	0	5253
16948	0	18094	7974	0	0	0	0	0	775
16938	0	18098	7958	0	0	0	0	0	739
0	0	138	23809	0	5293	0	0	0	23656
0	6968	18903	15299	7856	90	0	0	0	29704
0	0	15210	20457	0	4010	0	0	0	7763
16960	0	18100	7963	0	0	0	0	0	741
0	0	134	23799	0	1065	0	0	0	23620
16782	0	23954	3045	0	7525	946	17312	9801	4400
